,,HDI,balanced accuracy,F1,precision,recall
3,NGAr129,0.501,0.5511905194875941,0.1832720947929123,0.8303388494877857,0.10300349470905937
3,NGAr130,0.365,0.5935931639318286,0.30625844780435674,0.8265184933831015,0.18795092403256294
3,NGAr131,0.642,0.6456623873902153,0.4399481521292403,0.8910231783839159,0.2920829485349677
3,NGAr132,0.5670000000000001,0.5361472892376652,0.14200305165852298,0.7819917609363761,0.07809194201384352
3,NGAr133,0.611,0.6783931197284631,0.5183751137585836,0.9342160195622352,0.3587066043784923
3,NGAr134,0.41,0.6318453985265029,0.4053156146179401,0.8558263747837207,0.26553619568896103
3,NGAr135,0.574,0.6080398445502875,0.3481227675810945,0.8763184881336068,0.21720422298677367
3,NGAr136,0.415,0.6154388018786069,0.35862219157199376,0.7828911920382872,0.23258069375918045
3,NGAr137,0.64,0.7409399785646568,0.6093629925021289,0.8036540937354479,0.4907254085336277
4,NGAr101,0.604,0.55960335356168,0.21501865129629416,0.9194037267080746,0.12174548134306262
4,NGAr102,0.6559999999999999,0.5685089416377902,0.24375243235656274,0.9402008071660596,0.14002770793781108
4,NGAr103,0.426,0.5365179975886196,0.13579736069821186,0.8877236787349146,0.0735221131576045
4,NGAr104,0.622,0.6417513114759603,0.4374157035940021,0.947525206232814,0.284339006360667
4,NGAr105,0.598,0.5156794683974742,0.06152015469284545,0.8790648246546228,0.03187545759315633
4,NGAr106,0.509,0.5490982017216731,0.17736859200519695,0.8970713193224947,0.09841342837433892
4,NGAr107,0.609,0.5446617811343011,0.1632058210288924,0.9107206458506469,0.08963438146317522
4,NGAr108,0.48200000000000004,0.5664678679072173,0.2323421833506845,0.8909906063193851,0.13358898356625673
4,NGAr109,0.643,0.6042809790790387,0.34850508286084986,0.9356180463407164,0.2141334501387064
4,NGAr110,0.514,0.5853653439681308,0.28630044617878714,0.8503856479311374,0.1721249967655405
4,NGAr111,0.483,0.5557405542647975,0.20090555344510724,0.8345986522221275,0.1141976749614828
4,NGAr112,0.45399999999999996,0.5737229702464048,0.254487581924112,0.8542550335570469,0.1495143988836108
4,NGAr113,0.5670000000000001,0.590600426443176,0.3022788002521992,0.8969664573032207,0.1817673024670741
4,NGAr114,0.6729999999999999,0.7922888553125185,0.7244509876088824,0.8884486628132954,0.6115632578732513
4,NGAr115,0.48200000000000004,0.5599936065767983,0.2123536980084968,0.8998726272950387,0.1203806832349763
4,NGAr116,0.662,0.6680462577031284,0.4977674434278589,0.9425239682868856,0.3381852108363049
4,NGAr117,0.606,0.6131359819160607,0.3655571248616254,0.9372186337835192,0.2270604135053111
4,NGAr118,0.626,0.5854712809564998,0.28993345501362444,0.9345978199273308,0.1715808670534381
4,NGAr119,0.562,0.551868233538499,0.1873364396502202,0.8889898530970771,0.10469990189958084
4,NGAr120,0.642,0.5829905549710116,0.2830909443474888,0.9139798409816564,0.16748310713916964
4,NGAr121,0.33899999999999997,0.6058138633549504,0.3424752791955829,0.8814475426853277,0.21252448886242226
4,NGAr122,0.64,0.589741239694403,0.3058395505204016,0.916716514056964,0.18353584950852594
4,NGAr123,0.655,0.6206580948923577,0.38340760364848425,0.9122957278426804,0.24270402304088665
4,NGAr124,0.634,0.5546402104050892,0.19881627357232995,0.8993889365351629,0.11176090533060687
4,NGAr125,0.414,0.5538693622597367,0.19319294809010773,0.8582982547415219,0.10884651603577232
4,NGAr126,0.33899999999999997,0.5949774627998986,0.3132740519282756,0.8767251827814052,0.19070946233267
4,NGAr127,0.5579999999999999,0.5826895645616496,0.28083876087144394,0.9147814515303512,0.1658824075363126
